"Time (s)","Sound pressure level (dB)"
9.480461163E1,-4.376171094E1
9.501152048E1,-4.637516246E1
9.520984621E1,-4.504785353E1
9.540537012E1,-4.601659683E1
9.560595074E1,-4.429194636E1
9.580397382E1,-4.636750548E1
9.601368804E1,-4.719313106E1
9.620716252E1,-4.719393679E1
9.641331007E1,-4.731503141E1
9.661262241E1,-4.242929349E1
9.680344533E1,-4.253199124E1
9.701171220E1,-4.309999746E1
9.720795444E1,-4.550438466E1
9.741018689E1,-4.707275443E1
9.761753960E1,-4.415916215E1
9.780960434E1,-4.669028574E1
9.800271158E1,-4.341108741E1
9.820242481E1,-4.649036502E1
9.840225960E1,-4.851186103E1
9.860620345E1,-4.574218421E1
9.881912996E1,-4.335470796E1
9.900333064E1,-4.600757352E1
9.919894866E1,-4.501578227E1
9.930667199E1,-4.334830796E1
9.950743283E1,-4.421504918E1
9.970312704E1,-4.481572448E1
9.990240137E1,-4.731130866E1
1.001023480E2,-4.546928282E1
1.003021593E2,-4.514542239E1
1.005062324E2,-4.639650020E1
1.007020668E2,-4.603375311E1
1.009020547E2,-4.532549653E1
1.011023096E2,-4.737640461E1
1.013025055E2,-4.647991393E1
1.015030119E2,-4.698236965E1
1.017033610E2,-4.601866379E1
1.019118354E2,-4.504001910E1
1.021036739E2,-4.735057283E1
1.023017969E2,-4.298798463E1
1.024986322E2,-4.637964691E1
1.027037222E2,-4.436656006E1
1.029054266E2,-4.766632434E1
1.031017102E2,-4.493326904E1
1.033042707E2,-4.505588258E1
1.035059962E2,-4.413315933E1
1.037025397E2,-4.818967263E1
1.039051973E2,-4.345592030E1
1.041043451E2,-4.552011065E1
1.043067844E2,-4.396572071E1
1.045024398E2,-4.660482055E1
1.047061034E2,-4.399602174E1
1.049106654E2,-4.577957147E1
1.051137405E2,-4.583076477E1
1.053184824E2,-4.655632591E1
1.055034364E2,-4.304197893E1
1.057032650E2,-4.347340376E1
1.058998863E2,-4.530720636E1
1.061022003E2,-4.440672440E1
1.063034199E2,-4.582507070E1
1.065020171E2,-4.604259239E1
1.067062417E2,-4.378147881E1
1.069054684E2,-4.620509235E1
1.071052158E2,-4.594011079E1
1.073096880E2,-4.471982709E1
1.075094254E2,-4.550645140E1
1.077023342E2,-4.526462030E1
1.079099613E2,-4.514664410E1
1.081107426E2,-4.584541774E1
1.083119488E2,-4.658309110E1
1.085108406E2,-4.644943864E1
1.087059261E2,-4.688201017E1
1.089095002E2,-4.393865234E1
1.091060829E2,-4.557841880E1
1.093008392E2,-4.493864988E1
