"Time (s)","Sound pressure level (dB)"
7.153760044E1,-2.091416095E1
7.173799075E1,-2.387951575E1
7.193510841E1,-2.286157061E1
7.213771242E1,-2.350949203E1
7.233906351E1,-2.941455318E1
7.253572237E1,-2.995766852E1
7.273614950E1,-2.872728234E1
7.294477872E1,-2.458027262E1
7.314423674E1,-1.937409911E1
7.333576107E1,-1.980300600E1
7.354129159E1,-2.318693309E1
7.373832862E1,-2.680441615E1
7.393772424E1,-2.012092750E1
7.413625403E1,-2.605454150E1
7.433597737E1,-2.329871371E1
7.454665091E1,-2.724554082E1
7.474096440E1,-3.010281105E1
7.493690122E1,-3.030136860E1
7.513728263E1,-3.228952615E1
7.533395971E1,-3.101307625E1
7.553792403E1,-3.107831994E1
7.573655273E1,-2.855108257E1
7.594769357E1,-2.469350913E1
7.613792336E1,-2.760213917E1
7.633978763E1,-2.975858121E1
7.654445903E1,-2.935707892E1
7.674104080E1,-2.831965940E1
7.694516549E1,-2.813154916E1
7.713773836E1,-2.786636449E1
7.734718247E1,-2.628319957E1
7.753897278E1,-2.617524415E1
7.773676028E1,-2.655979051E1
7.794237877E1,-2.482179812E1
7.814589737E1,-2.656627232E1
7.833687445E1,-2.612498691E1
7.853524935E1,-2.542806083E1
7.874416606E1,-2.764217637E1
7.894542612E1,-2.813957842E1
7.913580632E1,-2.556064981E1
7.933355700E1,-2.701553915E1
7.953771153E1,-2.803233455E1
7.973395440E1,-2.754675955E1
7.993282362E1,-2.510075298E1
8.013419804E1,-2.568117205E1
8.034162086E1,-2.671836766E1
8.053345992E1,-2.747195670E1
8.073347226E1,-2.709808338E1
8.093551320E1,-2.400965134E1
8.113796315E1,-2.838539395E1
8.133775674E1,-2.703568409E1
8.153411773E1,-2.529799311E1
8.173358106E1,-2.802404336E1
8.193447455E1,-2.639118528E1
8.213620820E1,-1.986547756E1
8.234399242E1,-2.587680194E1
8.253074075E1,-3.075237648E1
8.256799945E1,-3.075237648E1
